job_title,company,descrip,start_time,finish_time
Researcher,Instituto Libertad y Desarrollo,"Research topics: Unemployment, productivity, economic growth and international markets.
",2018,2019
Research Assistant,Centro de Estudios Públicos,"Research topics: Health economics, public health, health insurance.
",2016,2018
